Invoice number,5535356085,
Invoice date,2026-03-31,
Due date,,
Billing ID,7012-3354-7818,
Billing account ID,016C53-111148-0513AB,
Currency,USD,
Currency exchange rate,1,
Total amount due,$0.00,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
My Billing Account,016C53-111148-0513AB,[Charges not specific to a project],,,Duet AI,719A-983F-202D,Gemini Code Assist Enterprise monthly subscription,B0A0-018B-6B14,Default,,Usage,2026-03-20,2026-03-31,19.082,month,1030.450224,1030.45
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Gemini API,AEFD-7695-64FA,EmbedContent input token count for gemini-embedding-2 text,13B8-087F-4762,Default,,Usage,2026-03-20,2026-03-30,"1,163,390",count,0.232677,0.23
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Gemini API,AEFD-7695-64FA,EmbedContent input token count for gemini-embedding-001,E211-E01C-0CB3,Default,,Usage,2026-03-20,2026-03-20,11,count,0.000001,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,Default,,Usage,2026-03-20,2026-03-30,393,count,0.000000,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Gemini API,AEFD-7695-64FA,EmbedContent input token count for gemini-embedding-001,E211-E01C-0CB3,,PROMOTION,Usage,2026-03-20,2026-03-20,,,-0.000001,-0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Gemini API,AEFD-7695-64FA,EmbedContent input token count for gemini-embedding-2 text,13B8-087F-4762,,PROMOTION,Usage,2026-03-20,2026-03-20,,,-0.232677,-0.23
My Billing Account,016C53-111148-0513AB,[Charges not specific to a project],,,Duet AI,719A-983F-202D,Gemini Code Assist Enterprise monthly subscription,B0A0-018B-6B14,,PROMOTION,Usage,2026-03-20,2026-03-31,,,-1030.450224,-1030.45
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Input - Predictions,FDAB-647C-5A22,Default,,Usage,2026-03-19,2026-03-19,"5,487",count,0.001646,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Thinking Text Output - Predictions,CD33-11F4-1220,Default,,Usage,2026-03-19,2026-03-19,157,count,0.000392,0.00
My Billing Account,016C53-111148-0513AB,DBUS Enterprise,dbus-enterprise-2026,3tched.com > Shared,Vertex AI,C7E2-9256-1C43,Gemini 2.5 Flash GA Text Output (Thinking On) - Predictions,A253-E8A3-DE5C,Default,,Usage,2026-03-19,2026-03-19,16,count,0.000040,0.00
