repo_name	repo_path	origin
admyral	/home/jeremy/git/admyral	https://github.com/Admyral-Technologies/admyral.git
agentic-browsing	/home/jeremy/git/agentic-browsing	
automated-security-helper	/home/jeremy/git/automated-security-helper	https://github.com/awslabs/automated-security-helper.git
branch-bestie-sync	/home/jeremy/git/branch-bestie-sync	https://github.com/repr0bated/branch-bestie-sync.git
cloud-custodian	/home/jeremy/git/cloud-custodian	https://github.com/cloud-custodian/cloud-custodian
content	/home/jeremy/git/content	https://github.com/ComplianceAsCode/content
core	/home/jeremy/git/core	https://github.com/theopenlane/core.git
cports	/home/jeremy/git/cports	https://github.com/chimera-linux/cports
datahub	/home/jeremy/git/datahub	https://github.com/datahub-project/datahub
fides	/home/jeremy/git/fides	https://github.com/ethyca/fides.git
fideslang	/home/jeremy/git/fideslang	https://github.com/ethyca/fideslang.git
firecracker	/home/jeremy/git/firecracker	https://github.com/firecracker-microvm/firecracker
freedesktop-sdk	/home/jeremy/git/freedesktop-sdk	https://gitlab.com/freedesktop-sdk/freedesktop-sdk.git
freeipa	/home/jeremy/git/freeipa	https://github.com/freeipa/freeipa
gemini-work	/home/jeremy/git/gemini-work	https://github.com/repr0bated/operation-dbus.git
iam	/home/jeremy/git/iam	https://github.com/theopenlane/iam.git
CheatSheetSeries	/home/jeremy/git/indexed-repos/CheatSheetSeries	https://github.com/OWASP/CheatSheetSeries
accountsservice	/home/jeremy/git/indexed-repos/accountsservice	https://gitlab.freedesktop.org/accountsservice/accountsservice
indexed-repos/admyral	/home/jeremy/git/indexed-repos/admyral	https://github.com/Admyral-Technologies/admyral.git
indexed-repos/automated-security-helper	/home/jeremy/git/indexed-repos/automated-security-helper	https://github.com/awslabs/automated-security-helper.git
checkov	/home/jeremy/git/indexed-repos/checkov	https://github.com/bridgecrewio/checkov
indexed-repos/cloud-custodian	/home/jeremy/git/indexed-repos/cloud-custodian	https://github.com/cloud-custodian/cloud-custodian
indexed-repos/content	/home/jeremy/git/indexed-repos/content	https://github.com/ComplianceAsCode/content
indexed-repos/core	/home/jeremy/git/indexed-repos/core	https://github.com/theopenlane/core.git
indexed-repos/cports	/home/jeremy/git/indexed-repos/cports	https://github.com/chimera-linux/cports
crossbeam	/home/jeremy/git/indexed-repos/crossbeam	https://github.com/crossbeam-rs/crossbeam
